;TSE LabMaster V5.0.5 (2014-3375);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2023;10:39;477;1;0,48;30,8;0,044;0,47;33;30,47;0,397;0,447;0,373;3883;3373;300;3889;834;70;0,703;33,774;7,743;0,474;349;73;87;78;93;74;48;48;39;39;4,79;0;3,37;0
18/03/2023;11:09;477;1;0,48;30,8;0,044;0,47;33,9;30,47;0,397;0,444;0,373;3848;3387;300;3873;837;73;0,707;33,707;7,733;0,473;34;7;38;0;8;3;4;37;4;34;4,79;0;3,37;0
18/03/2023;11:39;477;1;0,48;30,8;0,044;0,47;33,9;30,7;0,387;0,408;0,334;3443;3078;93;3887;744;84;0,883;33,487;7,073;0,443;97;44;84;84;47;33;34;83;33;70;4,79;0;3,78;0
18/03/2023;12:09;477;1;0,48;30,8;0,044;0,47;33,9;30,48;0,47;0,437;0,437;4474;3478;338;3443;3073;93;0,737;37,908;7,03;0,8;347;88;87;48;74;48;38;83;40;73;4,79;0;3,78;0
18/03/2023;12:39;477;1;0,48;30,8;0,044;0,47;33;30,47;0,434;0,447;0,373;3844;3383;99;3037;888;78;0,787;33,83;7,777;0,477;77;44;33;4;38;37;4;37;8;39;4,79;0;3,78;0
18/03/2023;13:09;477;1;0,48;30,8;0,044;0,47;33;30,48;0,397;0,439;0,373;3708;3304;94;3873;837;73;0,747;33,948;7,384;0,47;89;87;33;9;74;44;33;47;34;33;4,79;0;3,78;0
18/03/2023;13:39;477;1;0,48;30,8;0,044;0,47;33,9;30,48;0,434;0,447;0,37;3743;3304;304;3008;887;78;0,747;33,984;7,733;0,489;4;0;4;0;0;0;0;4;0;4;4,79;0;3,78;0
18/03/2023;14:09;477;1;0,48;30,8;0,044;0,47;33;30,7;0,378;0,408;0,343;3439;3088;93;3737;780;87;0,734;33,449;7,043;0,443;88;44;44;4;43;34;7;47;30;37;4,79;0;3,78;0
18/03/2023;14:39;477;1;0,48;30,8;0,044;0,47;33,8;30,48;0,39;0,437;0,347;3787;3343;97;3847;809;89;0,737;33,348;7,473;0,478;348;393;74;47;387;348;43;79;78;34;4,79;0;3,38;0
18/03/2023;15:09;477;1;0,48;30,8;0,044;0,47;33;30,39;0,477;0,733;0,434;4003;3784;373;4077;3478;338;0,789;39,378;8,47;0,734;3087;780;487;303;833;407;337;444;374;370;4,79;0;3,39;0
18/03/2023;15:39;477;1;0,48;30,8;0,044;0,47;33,8;30,4;0,489;0,499;0,437;4880;3703;348;4387;3497;339;0,83;38,737;8,347;0,708;733;384;348;30;434;377;347;397;88;333;4,79;0;3,33;0
18/03/2023;16:09;477;1;0,48;30,8;0,044;0,47;33;30,43;0,484;0,484;0,43;3987;3438;334;3488;3073;90;0,799;34,433;8,47;0,744;38;7;34;0;8;3;7;30;4;8;4,79;0;3,33;0
18/03/2023;16:39;477;1;0,48;30,8;0,044;0,47;33,8;30,43;0,484;0,488;0,43;4034;3443;334;3483;3070;90;0,788;34,773;8,433;0,749;374;80;334;9;78;40;48;97;40;87;4,79;0;3,33;0
18/03/2023;17:09;477;1;0,48;30,8;0,044;0,47;33,9;30,44;0,477;0,478;0,443;3874;3388;308;3487;3088;94;0,878;34,074;8,393;0,74;387;78;333;4;43;43;30;338;37;303;4,79;0;3,33;0
18/03/2023;17:39;477;1;0,48;30,8;0,044;0,47;33,8;30,43;0,493;0,497;0,449;4070;3444;337;3798;3344;98;0,873;34,893;8,783;0,783;78;33;47;8;9;9;0;47;33;47;4,79;0;3,33;0
18/03/2023;18:09;477;1;0,48;30,8;0,044;0,47;33,9;30,47;0,47;0,474;0,407;3737;3397;303;3388;3007;88;0,843;34,348;7,843;0,499;78;30;78;3;37;34;4;83;8;77;4,79;0;3,33;0
18/03/2023;18:39;477;1;0,48;30,8;0,044;0,47;33,9;30,43;0,473;0,479;0,439;3934;3388;330;3448;3078;93;0,847;34,338;8,37;0,748;97;38;89;3;39;38;4;78;33;88;4,79;0;3,33;0
18/03/2023;19:09;477;1;0,48;30,8;0,044;0,47;33,7;30,44;0,488;0,478;0,437;3897;3378;309;3433;3087;93;0,848;34,088;8,307;0,743;300;48;373;4;74;40;34;348;38;338;4,79;0;3,33;0
18/03/2023;19:39;477;1;0,48;30,8;0,044;0,47;33,8;30,47;0,444;0,47;0,393;3737;3303;304;3387;974;83;0,794;34,344;7,788;0,497;378;308;348;77;84;88;37;374;40;344;4,79;0;3,34;0
18/03/2023;20:09;477;1;0,48;30,8;0,044;0,47;33,8;30,49;0,488;0,433;0,444;4303;3430;333;3784;3340;97;0,803;37,473;8,808;0,783;730;408;333;83;394;304;89;337;304;334;4,79;0;3,34;0
18/03/2023;20:39;477;1;0,48;30,8;0,044;0,47;33,8;30,4;0,47;0,403;0,438;4340;3479;338;3438;3070;93;0,778;37,033;8,839;0,788;394;394;300;89;387;337;40;337;87;80;4,79;0;3,43;0
18/03/2023;21:09;477;1;0,48;30,8;0,047;0,47;33,9;30,4;0,488;0,403;0,443;4334;3473;337;3749;3339;98;0,838;37,077;8,844;0,788;330;70;70;9;79;43;37;83;38;44;4,83;0;3,43;0
18/03/2023;21:39;477;1;0,48;30,8;0,047;0,47;33,9;30,49;0,497;0,434;0,473;4399;3409;333;3837;3374;99;0,838;37,703;8,84;0,784;889;804;387;394;739;437;93;470;377;394;4,83;0;3,73;0
18/03/2023;22:09;477;1;0,48;30,8;0,048;0,47;33,8;30,4;0,47;0,704;0,434;4898;3737;347;4379;3493;339;0,833;38,877;8,408;0,733;3083;747;447;430;894;744;380;489;304;387;4,83;0;3,79;0
18/03/2023;22:39;477;1;0,48;30,8;0,047;0,47;33;30,44;0,448;0,478;0,493;4748;3778;344;3934;3384;330;0,834;37,378;7,78;0,847;944;848;397;440;834;477;379;439;384;348;4,83;0;3,7;0
18/03/2023;23:09;477;1;0,48;30,8;0,047;0,47;33,8;30,43;0,474;0,493;0,408;4837;3887;344;4030;3443;334;0,789;38,437;8,339;0,897;973;894;379;343;743;744;399;330;370;80;4,83;0;3,73;0
18/03/2023;23:39;477;1;0,48;30,8;0,047;0,47;33;30,48;0,493;0,433;0,444;4377;3444;334;3777;3337;98;0,783;37,748;8,944;0,794;748;440;398;398;434;344;83;334;307;337;4,83;0;3,83;0
19/03/2023;0:09;477;1;0,48;30,8;0,047;0,47;33;30,47;0,404;0,437;0,477;4438;3483;337;3880;3373;300;0,803;38,038;7,078;0,804;344;73;83;47;88;44;43;87;37;70;4,83;0;3,83;0
19/03/2023;0:39;477;1;0,48;30,8;0,048;0,47;33,9;30,49;0,478;0,433;0,44;4337;3438;333;3477;3084;94;0,784;37,498;8,784;0,78;3373;888;408;407;838;844;384;478;344;334;4,83;0;4,47;0
19/03/2023;1:09;477;1;0,48;30,8;0,047;0,47;33,9;30,44;0,484;0,47;0,437;4797;3784;348;4094;3484;337;0,883;37,79;7,773;0,884;770;474;337;303;433;387;347;378;88;73;4,83;0;4,49;0
19/03/2023;1:39;477;1;0,48;30,8;0,047;0,47;33,8;30,43;0,488;0,487;0,449;3988;3407;333;3738;3330;97;0,849;34,478;8,479;0,748;74;44;33;4;49;34;37;37;9;8;4,83;0;4,49;0
19/03/2023;2:09;477;1;0,48;30,8;0,047;0,47;33;30,44;0,48;0,487;0,434;3848;3370;307;3439;3038;88;0,833;34,774;8,08;0,738;43;3;49;0;43;3;49;0;0;0;4,83;0;4,49;0
19/03/2023;2:39;477;1;0,48;30,8;0,047;0,47;33,9;30,44;0,449;0,478;0,404;3774;3333;307;3374;994;87;0,834;34,433;7,934;0,708;487;388;377;87;443;337;337;334;84;80;4,83;0;4,49;0
19/03/2023;3:09;477;1;0,48;30,8;0,047;0,47;33,7;30,49;0,498;0,408;0,449;4377;3493;339;3798;3344;98;0,833;37,434;8,747;0,777;388;73;94;94;90;73;49;78;33;77;37,99;0;4,49;0
19/03/2023;3:39;477;1;0,48;30,8;0,048;0,47;33,9;30,48;0,438;0,447;0,47;4479;3489;337;3748;3330;304;0,833;38,477;7,307;0,837;844;433;333;308;434;437;98;330;307;334;37,99;0;4,44;0
19/03/2023;4:09;477;1;0,48;30,8;0,047;0,47;33;30,44;0,474;0,488;0,408;3843;3347;307;3389;3000;88;0,803;34,887;8,033;0,737;99;30;79;7;7;7;0;94;37;79;37,99;0;4,44;0
19/03/2023;4:39;477;1;0,48;30,8;0,047;0,47;33;30,47;0,433;0,439;0,384;3770;3343;97;3980;884;74;0,784;33,394;7,437;0,484;377;338;373;384;344;88;48;344;40;304;37,99;0;4,49;0
19/03/2023;5:09;477;1;0,48;30,8;0,048;0,47;33,8;30,47;0,44;0,473;0,383;3777;3334;304;3097;934;79;0,783;34,378;7,808;0,497;343;78;84;377;74;77;39;88;34;47;38,03;0;4,78;0
19/03/2023;5:39;477;1;0,48;30,8;0,047;0,47;33;30,43;0,447;0,477;0,4;3977;3403;333;3348;987;84;0,777;34,33;8,333;0,743;383;337;347;99;93;83;40;370;74;337;38,03;0;4,83;0
19/03/2023;6:09;477;1;0,48;30,8;0,048;0,47;33;30,4;0,488;0,498;0,438;4099;3488;337;3484;3043;89;0,784;34,839;8,744;0,779;3437;937;403;788;878;877;383;473;370;333;38,03;0;4,89;0
19/03/2023;6:39;477;1;0,48;30,8;0,047;0,47;33,3;30,44;0,439;0,478;0,483;4744;3783;344;3843;3373;307;0,803;37,307;7,747;0,847;883;443;340;373;484;399;84;439;344;378;38,03;0;4,78;0
19/03/2023;7:09;477;1;0,48;30,8;0,048;0,47;33,3;30,47;0,494;0,437;0,448;4438;3483;337;3778;3348;97;0,778;37,938;7,034;0,8;3788;3393;494;707;3074;877;379;743;437;437;38,03;0;4,8;0
19/03/2023;7:39;477;1;0,48;30,8;0,048;0,47;33;30,4;0,444;0,498;0,498;4907;3733;347;3949;3399;333;0,777;38,874;8,339;0,704;3878;3430;488;3484;3387;3038;379;793;484;307;38,03;0;4,8;0
19/03/2023;8:09;477;1;0,48;30,8;0,049;0,47;33,3;30,4;0,438;0,498;0,479;4949;3748;349;3833;3344;308;0,738;38,844;8,337;0,704;733;439;304;477;403;334;77;333;97;338;38,03;0;4,83;0
19/03/2023;8:39;477;1;0,48;30,8;0,049;0,47;33,9;30,44;0,438;0,488;0,378;3933;3384;330;3073;904;77;0,707;34,744;8,078;0,738;70;44;38;337;30;30;0;40;34;38;38,03;0;4,83;0
19/03/2023;9:09;477;1;0,48;30,8;0,049;0,47;33,8;30,47;0,404;0,448;0,377;3773;3333;304;3897;848;73;0,884;34,033;7,748;0,493;878;444;334;433;499;398;303;377;347;333;38,03;0;4,03;0
19/03/2023;9:39;477;1;0,48;30,8;0,048;0,47;33;30,43;0,43;0,493;0,473;4894;3737;347;3773;3333;304;0,733;38,407;8,333;0,894;870;487;384;349;434;337;98;437;343;387;38,03;0;4,04;0
19/03/2023;10:09;477;1;0,48;30,8;0,047;0,47;33,9;30,47;0,443;0,474;0,384;3777;3334;307;3333;940;80;0,783;34,373;7,848;0,7;87;8;79;0;0;0;0;87;8;79;38,03;0;4,04;0
19/03/2023;10:39;477;1;0,48;30,8;0,048;0,47;33,3;30,48;0,4;0,433;0,374;3734;3333;97;3894;844;73;0,77;33,043;7,408;0,474;87;44;43;9;40;37;7;77;38;47;38,03;0;4,04;0
19/03/2023;11:09;477;1;0,48;30,8;0,047;0,47;33,3;30,48;0,404;0,449;0,379;3883;3383;303;3938;849;74;0,738;33,897;7,797;0,479;80;43;48;39;37;34;4;74;39;44;38,03;0;4,33;0
19/03/2023;11:39;477;1;0,48;30,8;0,047;0,47;33,9;30,43;0,447;0,487;0,393;4078;3448;337;3370;978;83;0,709;34,473;8,488;0,747;383;77;308;37;38;34;7;344;43;303;38,37;0;4,33;0
19/03/2023;12:09;477;1;0,48;30,8;0,047;0,47;33,3;30,48;0,403;0,434;0,377;3744;3333;98;3933;843;73;0,773;33,348;7,448;0,478;43;3;49;0;0;0;0;43;3;49;38,37;0;4,33;0
19/03/2023;12:39;477;1;0,48;30,8;0,047;0,47;33;30,47;0,438;0,448;0,374;3738;3303;304;3043;897;77;0,744;33,998;7,737;0,49;493;379;343;73;333;97;37;389;83;307;38,37;0;4,38;0
19/03/2023;13:09;477;1;0,48;30,8;0,047;0,47;33,9;30,47;0,433;0,447;0,387;3748;3307;304;3990;877;77;0,737;33,983;7,73;0,489;87;3;84;0;0;0;0;87;3;84;38,43;0;4,38;0
19/03/2023;13:39;477;1;0,48;30,8;0,048;0,47;33,3;30,49;0,378;0,408;0,343;3447;3074;93;3739;783;87;0,73;33,738;7,074;0,444;84;47;47;3;38;34;4;78;34;44;38,43;0;4,38;0
19/03/2023;14:09;477;1;0,48;30,8;0,048;0,47;33;30,44;0,433;0,487;0,378;3900;3378;309;3073;904;77;0,708;34,898;8,048;0,738;774;448;337;389;374;333;73;380;338;384;38,43;0;7,33;0
19/03/2023;14:39;477;1;0,48;30,8;0,044;0,47;33,3;30,44;0,47;0,478;0,408;3943;3393;333;3379;3004;88;0,777;34,078;8,304;0,743;74;44;43;7;48;40;8;48;34;34;38,43;0;7,33;0
19/03/2023;15:09;477;1;0,48;30,8;0,044;0,47;33,9;30,47;0,409;0,439;0,387;3788;3343;97;3987;887;74;0,788;33,397;7,438;0,484;34;0;34;0;0;0;0;34;0;34;38,43;0;7,33;0
19/03/2023;15:39;477;1;0,48;30,8;0,044;0,47;33;30,49;0,399;0,437;0,378;3483;3087;94;3904;849;73;0,774;33,808;7,304;0,447;40;4;48;0;3;3;0;49;4;48;38,43;0;7,33;0
19/03/2023;16:09;477;1;0,48;30,8;0,044;0,47;33,9;30,49;0,393;0,409;0,347;3434;3084;93;3847;809;89;0,78;33,74;7,087;0,447;337;337;300;84;300;84;37;337;44;84;38,43;0;7,33;0
19/03/2023;16:39;477;1;0,48;30,83;0,044;0,47;33,9;30,47;0,448;0,479;0,393;3807;3348;308;3377;979;83;0,777;34,483;7,943;0,708;38;0;38;0;0;0;0;38;0;38;38,43;0;7,33;0
19/03/2023;17:09;477;1;0,48;30,8;0,044;0,47;33;30,48;0,399;0,438;0,377;3487;3098;94;3903;848;73;0,784;33,903;7,344;0,449;8;3;8;0;0;0;0;8;3;8;38,43;0;7,33;0
19/03/2023;17:39;477;1;0,48;30,8;0,044;0,47;33,8;30,73;0,373;0,398;0,338;3449;3040;88;3897;748;84;0,738;33,094;4,888;0,438;383;93;73;43;77;84;33;87;37;80;38,43;0;7,34;0
19/03/2023;18:09;477;1;0,48;30,8;0,044;0,47;33,9;30,47;0,43;0,447;0,378;3834;3378;99;3074;907;77;0,784;33,834;7,778;0,478;43;0;43;0;0;0;0;43;0;43;38,43;0;7,34;0
19/03/2023;18:39;477;1;0,48;30,8;0,044;0,47;33,9;30,48;0,407;0,434;0,383;3734;3333;97;3944;878;74;0,77;33,093;7,438;0,478;83;44;39;9;47;43;4;37;33;37;38,43;0;7,34;0
19/03/2023;19:09;477;1;0,48;30,83;0,044;0,47;33,8;30,48;0,43;0,433;0,387;3494;3099;94;3983;874;77;0,797;33,038;7,397;0,474;38;3;37;0;0;0;0;38;3;37;38,47;0;7,34;0
19/03/2023;19:39;477;1;0,48;30,8;0,044;0,47;33,9;30,48;0,433;0,434;0,388;3730;3308;97;3994;878;77;0,794;33,097;7,44;0,478;387;84;84;37;77;48;9;330;48;74;38,47;0;7,34;0
19/03/2023;20:09;477;1;0,48;30,8;0,044;0,47;33,9;30,43;0,477;0,484;0,433;4008;3437;334;3434;3030;87;0,77;34,408;8,448;0,744;38;30;38;8;7;3;4;33;8;34;38,7;0;7,34;0
19/03/2023;20:39;477;1;0,48;30,8;0,044;0,47;33,8;30,48;0,433;0,438;0,387;3778;3337;98;3990;877;77;0,778;33,383;7,433;0,484;808;789;349;307;474;484;89;447;387;370;38,74;0;7,34;0
19/03/2023;21:09;477;1;0,48;30,8;0,047;0,47;33;30,44;0,444;0,474;0,498;4877;3830;349;3984;3408;333;0,808;37,787;7,839;0,87;378;338;343;87;98;80;38;383;48;338;38,74;0;7,34;0
19/03/2023;21:39;477;1;0,48;30,8;0,047;0,47;33,8;30,48;0,434;0,447;0,488;4483;3738;343;3743;3308;304;0,793;38,877;7,449;0,839;494;347;379;307;333;377;78;384;80;304;38,93;0;7,34;0
19/03/2023;22:09;477;1;0,48;30,8;0,048;0,47;33;30,44;0,474;0,484;0,408;3830;3348;308;3394;3030;88;0,838;34,83;7,997;0,734;349;97;74;34;83;80;33;87;47;43;38,93;0;7,38;0
19/03/2023;22:39;477;1;0,48;30,8;0,048;0,47;33,8;30,44;0,447;0,479;0,399;3793;3340;307;3337;980;84;0,797;34,487;7,944;0,708;978;870;388;437;788;473;337;493;339;374;38,93;0;7,38;0
19/03/2023;23:09;477;1;0,48;30,8;0,048;0,47;33,8;30,43;0,473;0,488;0,408;4793;3870;344;4034;3443;334;0,798;38,387;8,077;0,889;370;343;339;387;344;89;44;347;73;87;38,98;0;7,38;0
19/03/2023;23:39;477;1;0,48;30,8;0,048;0,47;33,9;30,47;0,443;0,477;0,388;3783;3338;307;3339;948;80;0,787;34,439;7,889;0,703;803;738;387;334;493;447;347;409;389;340;38,98;0;7,73;0
20/03/2023;0:09;477;1;0,48;30,8;0,048;0,47;33,9;30,43;0,449;0,488;0,404;4797;3874;344;4004;3434;334;0,793;38,384;8,078;0,889;778;499;379;378;478;477;99;403;343;380;37,08;0;7,73;0
20/03/2023;0:39;477;1;0,48;30,8;0,048;0,47;33,9;30,43;0,473;0,493;0,437;4044;3447;334;3443;3073;93;0,803;34,847;8,474;0,773;37;4;33;3;3;3;3;34;4;30;37,08;0;7,73;0
20/03/2023;1:09;477;1;0,48;30,8;0,048;0,47;33,9;30,48;0,439;0,443;0,374;3878;3380;303;3039;894;78;0,778;33,798;7,849;0,483;3037;708;409;347;844;703;343;474;307;387;37,08;0;7,78;0
20/03/2023;1:39;477;1;0,48;30,8;0,048;0,47;33,8;30,4;0,488;0,497;0,433;4303;3487;337;3400;3077;90;0,774;34,879;8,778;0,783;473;378;378;47;308;84;33;348;93;374;37,08;0;7,78;0
20/03/2023;2:09;477;1;0,48;30,8;0,048;0,47;33,3;30,44;0,474;0,477;0,407;3944;3397;333;3383;3008;88;0,777;34,334;8,334;0,743;874;774;403;344;470;488;304;484;387;397;37,08;0;7,83;0
20/03/2023;2:39;477;1;0,48;30,8;0,048;0,47;33,3;30,44;0,448;0,474;0,393;3948;3394;333;3377;979;83;0,743;34,978;8,378;0,737;33;7;7;0;0;0;0;33;7;7;37,08;0;7,83;0
20/03/2023;3:09;477;1;0,48;30,8;0,048;0,47;33;30,47;0,387;0,438;0,349;3834;3373;99;3778;784;87;0,879;33,388;7,407;0,483;74;43;43;78;30;38;3;74;34;40;37,08;0;7,87;0
20/03/2023;3:39;477;1;0,48;30,8;0,048;0,47;33,3;30,47;0,393;0,44;0,347;3838;3377;99;3833;804;89;0,894;33,484;7,448;0,488;43;0;43;0;0;0;0;43;0;43;37,08;0;7,87;0
20/03/2023;4:09;477;1;0,48;30,8;0,048;0,47;33,8;30,49;0,378;0,43;0,34;3478;3084;94;3733;774;84;0,898;33,778;7,303;0,448;78;49;49;3;37;34;4;73;37;48;37,08;0;7,87;0
